Volcano_Number,Volcano_Name,Country,Primary_Volcano_Type,Type_group,Tectonic_Setting,Last_Eruption_Year,years_since,dated
300160,Taunshits,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-550.0,2576.0,True
300221,Vysoky,Russia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-550.0,2576.0,True
300560,Titila,Russia,Shield(s),Shield,Subduction zone / Continental crust (> 25 km),-550.0,2576.0,True
358024,Apagado,Chile,Pyroclastic cone,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-590.0,2616.0,True
354005,Huambo,Peru,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-700.0,2726.0,True
283100,Myokosan,Japan,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-750.0,2776.0,True
214020,Kazbek,Georgia,Stratovolcano,Stratovolcano / complex,Intraplate / Continental crust (> 25 km),-750.0,2776.0,True
214090,Porak,Armenia-Azerbaijan,Volcanic field,Monogenetic / field,Intraplate / Continental crust (> 25 km),-778.0,2804.0,True
312100,Yantarni,United States,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-800.0,2826.0,True
300512,Terpuk,Russia,Shield,Shield,Subduction zone / Continental crust (> 25 km),-800.0,2826.0,True
300124,Zavaritsky,Russia,Pyroclastic cone(s),Monogenetic / field,Subduction zone / Continental crust (> 25 km),-800.0,2826.0,True
351021,Santa Isabel,Colombia,Shield,Shield,Subduction zone / Continental crust (> 25 km),-850.0,2876.0,True
373090,Theistareykir,Iceland,Shield,Shield,Rift zone / Oceanic crust (< 15 km),-900.0,2926.0,True
351090,Azufral,Colombia,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-930.0,2956.0,True
322040,Sand Mountain Field,United States,Volcanic field,Monogenetic / field,Subduction zone / Continental crust (> 25 km),-950.0,2976.0,True
382001,Flores,Portugal,Stratovolcano(es),Stratovolcano / complex,Intraplate / Continental crust (> 25 km),-950.0,2976.0,True
342120,Tecuamburro,Guatemala,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-960.0,2986.0,True
390013,"Pleiades, The",Antarctica,Stratovolcano,Stratovolcano / complex,Intraplate / Continental crust (> 25 km),-1050.0,3076.0,True
285032,Yoteizan,Japan,Stratovolcano,Stratovolcano / complex,Subduction zone / Continental crust (> 25 km),-1050.0,3076.0,True
